region_names,intensity_at_surface_ 1,intensity_at_surface_ 2,intensity_at_surface_ 3,intensity_at_surface_ 4,intensity_at_surface_ 5,intensity_at_surface_ 6,intensity_at_surface_ 7,intensity_at_surface_ 8,intensity_at_surface_ 9,intensity_at_surface_10,intensity_at_surface_11,intensity_at_surface_12,intensity_at_surface_13,intensity_at_surface_14,intensity_at_surface_15,intensity_at_surface_16
R_6ma_ROI,9591.4677369046,12758.2103664414,15524.9142774553,16663.0361034007,16894.1715597313,17037.319456703,17353.0254518398,17861.4745375069,18375.4458343891,18751.2886265,18898.2971611598,18785.3470500189,18514.9181132146,18135.5558306463,17803.1367473748,17407.1671608078
R_7Am_ROI,10122.7215790509,13649.3951472979,16987.6977480719,18641.0914173062,19290.6822363159,19720.716458125,20328.4821357558,21154.9218447746,22091.4602313618,22829.8241317505,23211.4566346576,23029.3475193245,22460.2993566109,21881.09,21533.3746757092,20919.3752110345
R_7PL_ROI,10903.4841329007,15241.5147322546,18188.5750782915,19170.9070547289,19603.6803498338,20352.7958515199,21545.9299214772,22932.1753833758,24134.666721476,24906.154651629,25052.9517846215,24626.4864644727,23770.3020908258,23018.5951385902,22709.5737099009,21934.7274695562
R_7PC_ROI,9421.35302430988,12578.3619120788,15368.7983107604,16711.1453349833,17038.5276554129,17361.9287947219,18061.5853965977,18990.9067120027,19913.918161082,20605.0909750984,20833.2512279273,20606.766391827,20081.1912913238,19550.325518948,19284.2112968131,18858.5836753745
R_LIPv_ROI,9647.23748542404,12872.0986373628,15104.1402500906,15920.6307025071,16193.5958005992,16562.7545198704,17237.9094631415,18071.5502578113,18839.7344250936,19347.0846079449,19579.3667901404,19422.6806035599,18875.106644358,18334.2360953491,18031.2544852056,17590.7744668295
R_VIP_ROI,9680.44355866306,13409.1718048958,16624.9135920707,18107.0937395516,18648.2100166075,19256.525029125,20144.7721826507,21250.7888572732,22218.448509408,22775.1224884008,22953.8510667459,22569.9030296579,21883.5557561219,21202.7190005749,21107.3898312897,20561.9316320756
R_MIP_ROI,10696.0417368446,14111.3697371306,15995.905047693,16699.3317609782,17132.2156239431,17810.8790324401,18794.4172091309,19972.9597221333,21075.8334989143,21810.0474852756,21981.0689769696,21562.1618324582,20794.3388381735,20207.8965933184,19807.0374923642,18960.7905572728
R_1_ROI,9817.4206640163,13133.6834083889,16217.0918395537,17945.9444728398,18648.4066130249,19178.2354433595,19872.6017813494,20607.6410757634,21159.1497124171,21366.9085966761,21179.9927422442,20765.6884463148,20185.1604622272,19637.3836317741,19397.6376774629,18912.6284421866
R_2_ROI,9707.34474216715,13098.1538591046,15717.4231734318,16741.13286913,17083.9434038755,17535.0544899178,18291.1319584483,19261.7451990481,20123.3890110031,20670.0179412574,20842.8944446566,20633.5077485678,20099.8157931164,19481.2166681699,19079.0773565187,18515.0680562293
R_3a_ROI,9189.92838883606,12046.5286682337,14607.5357144893,16130.7589470108,16946.6668192061,17623.1132259117,18344.6828207694,19106.9674920961,19752.1214009297,20110.8127654907,20080.247851382,19731.9818425177,19115.2018405441,18414.3234693723,17740.723384778,16922.2845806782
R_6d_ROI,10588.6410650035,13956.8253467473,16239.5287105328,17263.4791217042,17735.2273819341,18127.055504011,18435.2107934957,18682.0717937424,18829.8501349733,18829.6875385666,18730.9780159782,18594.0534488947,18230.2585590104,17877.7237082517,17487.3387238446,17000.4699195967
R_6mp_ROI,10433.4576216589,13978.3438776866,16483.7314926416,17241.5965762531,17345.6659932722,17617.1687241914,18196.5754159099,18890.7444231243,19445.7486253989,19646.6997471592,19526.651690791,19259.6574437541,18948.9000352983,18548.6208748956,18002.2116498453,17280.0966841107
R_6v_ROI,9811.02030360212,12932.2370559814,15373.6372642828,16456.7374315898,16747.3522725194,16967.7132107974,17359.494837344,17807.2522207609,18141.3481808171,18320.0672322159,18325.7490343573,18197.9297016526,17956.4101415381,17676.0152207267,17451.0613235783,17131.7479554377
